id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
114371677,Women's Phoebe Ankle Grip Sock,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-phoebe-ankle-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71918220/screenshot-2025-08-26-at-15727pm.png,N/A,2,S/M,67996247
114371565,Women's Heart Ankle Grip Sock- White,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-heart-ankle-grip-sock-white.html,https://cdn.shoplightspeed.com/shops/651012/files/71918194/screenshot-2025-08-26-at-15600pm.png,N/A,1,S/M,67996207
114371563,Women's Heart Ankle Grip Sock- White,Grip socks perfect for sticking your workout.,in stock,new,16 USD,https://www.twinlion.co/womens-heart-ankle-grip-sock-white.html,https://cdn.shoplightspeed.com/shops/651012/files/71918194/screenshot-2025-08-26-at-15600pm.png,N/A,1,M/L,67996207
114332807,Carnaby Pari Zip Knit Jacket- White,A zip through sports jacket with knitted blue stripes down the sleeves and welt pockets. Designed for walking and recovery.,in stock,new,143.99 USD,https://www.twinlion.co/carnaby-pari-zip-knit-jacket-white-67977836.html,https://cdn.shoplightspeed.com/shops/651012/files/71879552/screenshot-2025-04-18-at-104058am.png,N/A,1,M,67977836
114332806,Carnaby Pari Zip Knit Jacket- White,A zip through sports jacket with knitted blue stripes down the sleeves and welt pockets. Designed for walking and recovery.,in stock,new,143.99 USD,https://www.twinlion.co/carnaby-pari-zip-knit-jacket-white-67977836.html,https://cdn.shoplightspeed.com/shops/651012/files/71879552/screenshot-2025-04-18-at-104058am.png,N/A,1,S,67977836
114332804,Carnaby Pari Zip Knit Jacket- White,A zip through sports jacket with knitted blue stripes down the sleeves and welt pockets. Designed for walking and recovery.,in stock,new,143.99 USD,https://www.twinlion.co/carnaby-pari-zip-knit-jacket-white-67977836.html,https://cdn.shoplightspeed.com/shops/651012/files/71879552/screenshot-2025-04-18-at-104058am.png,N/A,1,XS,67977836
114331893,Kristen Rain Coat- Dark Truffle,"Fully waterproof and dramatically oversized, the Kirsten raincoat is a bold yet practical style statement.",in stock,new,320 USD,https://www.twinlion.co/kristen-rain-coat-dark-truffle.html,https://cdn.shoplightspeed.com/shops/651012/files/71879443/9584ece176a09c967386a9152f824f8470c021ab-var01423.webp,N/A,1,S,67977414
114331885,Kristen Rain Coat- Dark Truffle,"Fully waterproof and dramatically oversized, the Kirsten raincoat is a bold yet practical style statement.",in stock,new,320 USD,https://www.twinlion.co/kristen-rain-coat-dark-truffle.html,https://cdn.shoplightspeed.com/shops/651012/files/71879443/9584ece176a09c967386a9152f824f8470c021ab-var01423.webp,N/A,1,XXS,67977414
114311381,Tademark Hat- Natural,"Crafted with high-quality nylon material, these hats are not only stylish but also durable, making them perfect for everyday wear or your next adventure.",in stock,new,45 USD,https://www.twinlion.co/tademark-hat-natural.html,https://cdn.shoplightspeed.com/shops/651012/files/71859810/screenshot-2025-08-22-at-113611am.png,N/A,3,One size,67968114
114311307,Track Hat- Khaki Nylon,"Crafted with high-quality nylon material, these hats are not only stylish but also durable, making them perfect for everyday wear or your next adventure.",in stock,new,43 USD,https://www.twinlion.co/track-hat-khaki-nylon.html,https://cdn.shoplightspeed.com/shops/651012/files/71859744/screenshot-2025-08-22-at-113416am.png,N/A,4,One size,67968079
114311227,Varsity Hat - Washed Green,"This laid-back staple features a low-profile crown, curved brim, and adjustable strap for a custom fit. Whether you’re heading to the gym, the coffee shop, or anywhere in between, it adds a timeless, athletic touch to your everyday look.",in stock,new,42 USD,https://www.twinlion.co/varsity-hat-washed-green.html,https://cdn.shoplightspeed.com/shops/651012/files/71859672/screenshot-2025-08-22-at-113200am.png,N/A,5,One size,67968043
