id,title,description,availability,condition,price,link,image_link,brand,item_group_id
66894682,Go-to Henley- Black,Go-to Henley- Black,in stock,new,0.00 USD,go-to-henley-black,https://cdn.shoplightspeed.com/shops/651012/files/70056516/screen-shot-2024-07-24-at-120433-pm.png,,66894682
66894679,Stretch Terry 5-Pocket Pant- Stone,Stretch Terry 5-Pocket Pant- Stone,in stock,new,0.00 USD,stretch-terry-5-pocket-pant-stone,https://cdn.shoplightspeed.com/shops/651012/files/70056512/screen-shot-2024-07-28-at-80620-pm.png,,66894679
66894676,Go-to Henley- Heather Charcoal,Go-to Henley- Heather Charcoal,in stock,new,0.00 USD,go-to-henley-heather-charcoal,https://cdn.shoplightspeed.com/shops/651012/files/70056502/screen-shot-2024-08-10-at-24907-pm.png,,66894676
66894662,Sunwashed Tee- Washed Black,Sunwashed Tee- Washed Black,in stock,new,0.00 USD,sunwashed-tee-washed-black,https://cdn.shoplightspeed.com/shops/651012/files/70056493/screen-shot-2024-08-18-at-83805-pm.png,,66894662
66894658,Atlas Hoodie- Black,Atlas Hoodie- Black,in stock,new,0.00 USD,atlas-hoodie-black,https://cdn.shoplightspeed.com/shops/651012/files/70056488/screen-shot-2024-08-28-at-90929-am.png,,66894658
66894654,REC FLC Tapered Sweatpant- Mineral Moonlit Ocean,REC FLC Tapered Sweatpant- Mineral Moonlit Ocean,in stock,new,0.00 USD,rec-flc-tapered-sweatpant-mineral-moonlit-ocean,https://cdn.shoplightspeed.com/shops/651012/files/70056480/screen-shot-2024-09-15-at-22835-pm.png,,66894654
66894649,Corbet Reversible Pullover- Charcoal/Mid Heather Grey,Corbet Reversible Pullover- Charcoal/Mid Heather Grey,in stock,new,0.00 USD,corbet-reversible-pullover-charcoal-mid-heather-gr,https://cdn.shoplightspeed.com/shops/651012/files/70056471/screen-shot-2024-09-18-at-103516-am.png,,66894649
66894636,Stretch Terry 5-Pocket Pant- Onyx Black,Stretch Terry 5-Pocket Pant- Onyx Black,in stock,new,0.00 USD,stretch-terry-5-pocket-pant-onyx-black,https://cdn.shoplightspeed.com/shops/651012/files/70056454/fah1193-sp24-faherty-mbc0020-oyx-stretch-terry-32i.webp,,66894636
66894633,Corbet Quilted Crewneck- Dark Oat Heather,Corbet Quilted Crewneck- Dark Oat Heather,in stock,new,0.00 USD,corbet-quilted-crewneck-dark-oat-heather,https://cdn.shoplightspeed.com/shops/651012/files/70056441/corbetquilted-2000x.webp,,66894633
66894627,Clayton Textured Pullover- Grey,Clayton Textured Pullover- Grey,in stock,new,0.00 USD,clayton-textured-pullover-grey,https://cdn.shoplightspeed.com/shops/651012/files/70056431/screenshot-2024-10-24-at-120911pm.png,,66894627
66894625,Workday Bomber- Dark Navy,Workday Bomber- Dark Navy,in stock,new,0.00 USD,workday-bomber-dark-navy,https://cdn.shoplightspeed.com/shops/651012/files/70056429/screen-shot-2024-10-26-at-120934-pm.png,,66894625
66894624,Weekender Pullover- Ocean Blue Heather,Weekender Pullover- Ocean Blue Heather,in stock,new,0.00 USD,weekender-pullover-ocean-blue-heather,https://cdn.shoplightspeed.com/shops/651012/files/70056425/20240605-rhone-boston-weekender-3575-1500x.webp,,66894624
66894618,Atmosphere Midweight Jogger- Navy,Atmosphere Midweight Jogger- Navy,out of stock,new,0.00 USD,atmosphere-midweight-jogger-navy,https://cdn.shoplightspeed.com/shops/651012/files/70056417/screen-shot-2024-11-01-at-110930-am.png,,66894618
66894616,Clubhouse Golf 1/4 Zip Hoodie- Sleet Gray,Clubhouse Golf 1/4 Zip Hoodie- Sleet Gray,in stock,new,0.00 USD,clubhouse-golf-1-4-zip-hoodie-sleet-gray,https://cdn.shoplightspeed.com/shops/651012/files/70056414/screen-shot-2024-11-01-at-111625-am.png,,66894616
66894614,Atmosphere Midweight Hoodie- True Black,Atmosphere Midweight Hoodie- True Black,in stock,new,0.00 USD,atmosphere-midweight-hoodie-true-black,https://cdn.shoplightspeed.com/shops/651012/files/70056405/atmospheremidweighthoodie-trueblack-102151-959-024.webp,,66894614
