id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
112564070,Kiara Short- Strawberry Stand Terry,,in stock,new,88 USD,kiara-short-strawberry-stand-terry,https://cdn.shoplightspeed.com/shops/651012/files/70195991/screenshot-2025-05-09-at-93706am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,M,66980102
112606401,Camilla Top  & Highway Bottom Set- Strawberry Stand Terry,,in stock,new,206 USD,camilla-top-highway-bottom-set-strawberry-stand-te,https://cdn.shoplightspeed.com/shops/651012/files/70195933/screenshot-2025-05-09-at-92808am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,XS,66980071
112563982,Camilla Top  & Highway Bottom Set- Strawberry Stand Terry,,in stock,new,206 USD,camilla-top-highway-bottom-set-strawberry-stand-te,https://cdn.shoplightspeed.com/shops/651012/files/70195933/screenshot-2025-05-09-at-92808am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,L,66980071
112563979,Camilla Top  & Highway Bottom Set- Strawberry Stand Terry,,in stock,new,206 USD,camilla-top-highway-bottom-set-strawberry-stand-te,https://cdn.shoplightspeed.com/shops/651012/files/70195933/screenshot-2025-05-09-at-92808am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,M,66980071
112563977,Camilla Top  & Highway Bottom Set- Strawberry Stand Terry,,in stock,new,206 USD,camilla-top-highway-bottom-set-strawberry-stand-te,https://cdn.shoplightspeed.com/shops/651012/files/70195933/screenshot-2025-05-09-at-92808am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,S,66980071
112643123,Priscilla One Piece- Fruit Market,,in stock,new,158 USD,priscilla-one-piece-fruit-market,https://cdn.shoplightspeed.com/shops/651012/files/70195844/screenshot-2025-05-09-at-92544am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,XS,66980039
112563820,Priscilla One Piece- Fruit Market,,in stock,new,158 USD,priscilla-one-piece-fruit-market,https://cdn.shoplightspeed.com/shops/651012/files/70195844/screenshot-2025-05-09-at-92544am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,S,66980039
112563819,Priscilla One Piece- Fruit Market,,in stock,new,158 USD,priscilla-one-piece-fruit-market,https://cdn.shoplightspeed.com/shops/651012/files/70195844/screenshot-2025-05-09-at-92544am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,M,66980039
112563811,Priscilla One Piece- Fruit Market,,in stock,new,158 USD,priscilla-one-piece-fruit-market,https://cdn.shoplightspeed.com/shops/651012/files/70195844/screenshot-2025-05-09-at-92544am.png,"{'resource': {'id': 2557758, 'url': 'brands/2557758', 'link': 'https://api.shoplightspeed.com/us/brands/2557758.json'}}",1,L,66980039
112563745,Righteous Runsie- Clove,,in stock,new,98 USD,righteous-runsie-clove,https://cdn.shoplightspeed.com/shops/651012/files/70195800/screenshot-2025-05-09-at-92151am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,XS,66980017
112563744,Righteous Runsie- Clove,,in stock,new,98 USD,righteous-runsie-clove,https://cdn.shoplightspeed.com/shops/651012/files/70195800/screenshot-2025-05-09-at-92151am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,S,66980017
112563740,Righteous Runsie- Clove,,in stock,new,98 USD,righteous-runsie-clove,https://cdn.shoplightspeed.com/shops/651012/files/70195800/screenshot-2025-05-09-at-92151am.png,"{'resource': {'id': 3047041, 'url': 'brands/3047041', 'link': 'https://api.shoplightspeed.com/us/brands/3047041.json'}}",1,M,66980017
112509710,Phoebe Bikini- Black,,in stock,new,295 USD,phoebe-bikini-black,https://cdn.shoplightspeed.com/shops/651012/files/70149926/screenshot-2025-05-07-at-81949am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",2,One size,66946838
112509708,Osiris Frill Bikini- Navy,,in stock,new,295 USD,osiris-frill-bikini-navy,https://cdn.shoplightspeed.com/shops/651012/files/70149920/screenshot-2025-05-07-at-81729am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",1,One size,66946837
112509701,Domino Swim- Metallic Cocoa,,in stock,new,255 USD,domino-swim-metallic-cocoa,https://cdn.shoplightspeed.com/shops/651012/files/70149914/screenshot-2025-05-07-at-81559am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",1,One size,66946833
112509698,Camille Swim- Metallic Kahki,,in stock,new,295 USD,camille-swim-metallic-kahki,https://cdn.shoplightspeed.com/shops/651012/files/70149896/screenshot-2025-05-07-at-81259am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",2,One size,66946830
112509696,Camille Swim- Metallic Rosewood,,in stock,new,295 USD,camille-swim-metallic-rosewood,https://cdn.shoplightspeed.com/shops/651012/files/70149890/screenshot-2025-05-07-at-81006am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",1,One size,66946828
112509687,Square Neck Swim- Metallic Cocoa,,in stock,new,240 USD,square-neck-swim-metallic-cocoa,https://cdn.shoplightspeed.com/shops/651012/files/70149857/screenshot-2025-05-07-at-80644am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",2,One size,66946824
112509680,Domino Swim- Blush,,in stock,new,255 USD,domino-swim-blush,https://cdn.shoplightspeed.com/shops/651012/files/70149840/screenshot-2025-05-07-at-80339am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",1,One size,66946817
112509666,Camille One Piece- Red,,in stock,new,295 USD,camille-one-piece-red,https://cdn.shoplightspeed.com/shops/651012/files/70149812/screenshot-2025-05-07-at-75806am.png,"{'resource': {'id': 3590979, 'url': 'brands/3590979', 'link': 'https://api.shoplightspeed.com/us/brands/3590979.json'}}",1,One size,66946811
112483177,Jolie Hoodie- Ivory,"The Jolie Hoodie offers a fresh take on casual layering. Crafted in an open-knit design, this hoodie offers a stylish and breathable layer for any occasion.",in stock,new,168 USD,jolie-hoodie-ivory,https://cdn.shoplightspeed.com/shops/651012/files/70123175/screenshot-2025-04-16-at-44338pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",0,M,66931094
112483166,Jolie Hoodie- Ivory,"The Jolie Hoodie offers a fresh take on casual layering. Crafted in an open-knit design, this hoodie offers a stylish and breathable layer for any occasion.",in stock,new,168 USD,jolie-hoodie-ivory,https://cdn.shoplightspeed.com/shops/651012/files/70123175/screenshot-2025-04-16-at-44338pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",1,S,66931094
112483126,Easy Pant- Indigo Stripe,"Wear the Easy pant to run your errands with a t-shirt and your favorite sneaks, or dress them up with a blouse and boots. So comfortable you could even wear them on the plane, if we dare say. The Easy pant has an elastic waist with drawcord.",in stock,new,218 USD,easy-pant-indigo-stripe,https://cdn.shoplightspeed.com/shops/651012/files/70123149/screenshot-2025-04-16-at-44527pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",0,M,66931055
112483120,Easy Pant- Indigo Stripe,"Wear the Easy pant to run your errands with a t-shirt and your favorite sneaks, or dress them up with a blouse and boots. So comfortable you could even wear them on the plane, if we dare say. The Easy pant has an elastic waist with drawcord.",in stock,new,218 USD,easy-pant-indigo-stripe,https://cdn.shoplightspeed.com/shops/651012/files/70123149/screenshot-2025-04-16-at-44527pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",0,S,66931055
112483097,Easy Pant- Indigo Stripe,"Wear the Easy pant to run your errands with a t-shirt and your favorite sneaks, or dress them up with a blouse and boots. So comfortable you could even wear them on the plane, if we dare say. The Easy pant has an elastic waist with drawcord.",in stock,new,218 USD,easy-pant-indigo-stripe,https://cdn.shoplightspeed.com/shops/651012/files/70123149/screenshot-2025-04-16-at-44527pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",1,XS,66931055
